amplitude,beyond1std,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,linear_trend,max_slope,median_absolute_deviation,median_buffer_range_percentage,pair_slope_trend,percent_amplitude,percent_difference_flux_percentile,skew,small_kurtosis,std,stetson_j,stetson_k,ls,class
1152038005328,0.2945,0.289156626506,0.235378635225,0.358210600112,0.479746758521,0.719020476171,0.841837320444,5.85398734252e-05,26.0846420114,0.0795,1.0,0.0344827586207,0.187406947191,0.324856875159,0.793221242965,-0.108179822232,0.12490948225,2.07522989304,0.833760253468,0.284734423806,1
1109074035424,0.3605,0.282700421941,0.232213038808,0.363519634021,0.483810501319,0.617084644487,0.789669570714,4.1894815069e-05,733.944999615,0.077,1.0,-0.103448275862,0.15984512119,0.289419166544,1.26110712036,3.32124238192,0.110846354046,10.9913481512,0.746399299056,0.284860754738,1
1007074033840,0.34,0.311340206186,0.159936919941,0.302519056581,0.478993027438,0.665642020891,0.863876973382,-1.02264927992e-06,466.531468128,0.101,1.0,0.103448275862,0.189049678985,0.45190780464,0.764424787384,-0.430089109698,0.170045496328,4.09353761099,0.827817224511,0.114397001399,1
1007074016989,0.398,0.344608879493,0.196957556978,0.365507122203,0.535224819049,0.683526857267,0.836164034337,-7.33122479461e-06,2606.80034266,0.115,1.0,-0.172413793103,0.400876983955,0.408163824523,0.203887814475,-0.550239341969,0.150079020705,1.24492667217,0.839818860754,0.156693427708,1
1007074034412,0.1825,0.315463917526,0.16545846325,0.298001464678,0.437503907283,0.604397948965,0.753493573815,1.85516788905e-06,598.377317817,0.04,1.0,0.310344827586,0.143931449539,0.165812258193,0.418224946973,0.347003358783,0.0566487038773,0.870133375382,0.805413572749,0.119392209177,1
1101075024611,0.769,0.239495798319,0.103890356704,0.206775958078,0.308531160296,0.478877349065,0.704839633367,-1.72200745039e-05,84.7969239709,0.115,1.0,0.172413793103,0.878451359487,0.691217619726,0.651204585411,1.33907975306,0.231168635719,0.278486039271,0.795710895992,0.216336063234,1
1101075060634,0.27,0.369047619048,0.194526392298,0.379018468936,0.587933067159,0.710887481971,0.888772415121,1.93644733813e-05,696.202543279,0.0835,1.0,-0.0344827586207,0.17543861522,0.31345542343,0.456512243752,-0.821148353427,0.11912926248,2.05022118823,0.841146684695,0.174227043964,1
1101075055872,0.309,0.267924528302,0.220183754571,0.349446805188,0.536170327155,0.766801404749,0.928209224366,-3.56808717738e-05,1761.65812097,0.092,1.0,0.103448275862,0.184677117581,0.397815002772,0.741157177287,-0.727666655792,0.162556710109,3.35650976394,0.847159116784,0.190512761922,1
1101075010990,1.1115,0.107142857143,0.150722557832,0.279231938221,0.407176467336,0.594032970142,0.813541097377,-7.31534415464e-05,108.663731335,0.116,0.982142857143,0.0344827586207,0.277026630564,0.539791831868,3.49251290177,16.3390658248,0.332920736448,2.43482355573,0.827310514182,0.354276728991,1
1101075008451,0.1545,0.441947565543,0.26859971193,0.516784967426,0.636302870783,0.764153666547,0.871851517827,2.11910758879e-06,10.8849759951,0.083,1.0,0.310344827586,0.157710574115,0.233027499203,-0.0123478748001,-1.3334893925,0.0879503973741,3.61812788508,0.841087463202,0.172228311382,1
1112074016514,0.193,0.383720930233,0.259784055599,0.419962200545,0.59134423457,0.744267708564,0.906620136106,-1.93112298186e-05,544.217699091,0.069,1.0,0.0344827586207,0.164662129221,0.231521671109,0.282442414377,-1.0688168689,0.0865726939355,2.52231601836,0.853091735049,0.15680620438,1
1112074022679,0.1375,0.291208791209,0.204924414156,0.32656414941,0.498737058576,0.60974244664,0.812113520548,9.01504262582e-06,12.1852152654,0.027,1.0,-0.103448275862,0.102554332102,0.0997338447784,0.333142466204,1.8142776067,0.0366493253244,2.32669684167,0.804366881133,0.223090372606,1
1152039055097,0.5705,0.225092250923,0.178062641138,0.340677833791,0.507703071635,0.698651172027,0.89057839508,1.23873053193e-05,55.0281608861,0.132,1.0,0.310344827586,0.267068224999,0.631597197852,1.03728036591,0.00519630135134,0.277820942337,2.84060656693,0.859135474433,0.165380396869,1
1140034034171,0.243,0.214285714286,0.138169010218,0.226309575999,0.352384422179,0.501189235123,0.688136811633,3.71251235548e-05,18.4249767667,0.0285,1.0,-0.0344827586207,0.218428233509,0.146317104409,0.298059204246,4.70549063996,0.0538789144168,0.95680116919,0.763779691434,0.44212679157,1
1112073029309,0.1855,0.4,0.188724084051,0.293175641251,0.433823098356,0.615670045325,0.873560169325,5.1471569043e-05,12.2116056894,0.069,1.0,0.0344827586207,0.189037070656,0.267960016084,0.014529149574,-0.452810120705,0.0926346452468,0.468131364376,0.801962805101,2.1984654983,1
1112073020853,0.309,0.352112676056,0.180148994264,0.317219877551,0.487875766624,0.668104560224,0.877230877969,-1.72509584768e-05,16.3599508439,0.093,1.0,0.0344827586207,0.20559100773,0.400819433189,0.65303924358,-0.501691090549,0.147161786987,14.2777143704,0.823543092266,0.222749976773,1
1112074027251,0.2255,0.416666666667,0.254889372347,0.439475318213,0.616823240021,0.748462188966,0.884956627504,-3.3204074651e-06,327.022383272,0.099,1.0,0.0344827586207,0.193987977856,0.302629667279,0.170742070126,-1.16875027761,0.113307101403,2.45214329845,0.866124812874,0.193888549038,1
1112074033267,0.5535,0.28729281768,0.190026960413,0.290913547107,0.391886692056,0.602217439212,0.806250379218,-0.000116455803882,7622.31763441,0.123,1.0,0.241379310345,0.341528798266,0.555854711345,0.972674515791,1.26323657061,0.21147621929,30.6036191521,0.818402236118,1.00026149829,1
1155036020480,0.5955,0.165254237288,0.129868910754,0.226027927422,0.389560689346,0.565815472109,0.800532044179,-6.2586229331e-05,1319.61591328,0.095,1.0,0.172413793103,0.23993795447,0.461475497658,2.04357776693,5.21839284086,0.208507691148,12.0117401691,0.774491468946,1.12052846192,1
1009074025368,0.7915,0.211401425178,0.141893159213,0.257369088797,0.414997070955,0.574120711719,0.816106559893,6.82845901961e-05,436.696009242,0.143,1.0,-0.103448275862,0.422983944579,0.677131079191,1.26928115604,1.70856005061,0.272828177581,0.708869078261,0.80838701336,0.145330712721,1
1009074047742,0.961,0.338753387534,0.120285158069,0.255912355767,0.380781270372,0.566984191456,0.788627099452,-2.91558662667e-05,922.477273253,0.27,1.0,0.0344827586207,1.37028189913,1.29737544956,0.0120958733432,-0.439181459733,0.395818231199,78.7051922311,0.769822956955,1563.76804904,1
1009074027903,0.6285,0.262529832936,0.139103961125,0.257755149045,0.389263602257,0.527147075123,0.754897605307,1.75259401357e-05,72.8615630216,0.111,1.0,-0.310344827586,0.829784734295,0.5221524535,0.150759847602,1.26270980997,0.181819716554,0.591427944263,0.78023994632,1563.75927312,1
1009074042797,0.415,0.389261744966,0.21784298981,0.441398010399,0.577202076171,0.681740556636,0.831964810267,-3.46134668084e-05,421.81070835,0.166,1.0,-0.0689655172414,0.376574802633,0.520908988968,0.180672567505,-0.917668460614,0.185687021786,19.6721419637,0.833094364519,0.205137071137,1
1112074044511,0.18,0.411764705882,0.249550304072,0.417813652283,0.571344083282,0.766375606291,0.859604801972,2.20712578666e-05,416.666704562,0.08,1.0,0.0344827586207,0.168422738167,0.258399001917,0.145020982324,-1.10854244613,0.093439104883,2.76896124691,0.851699363769,0.215315243035,1
1112074047438,0.1445,0.176870748299,0.159326940134,0.301200289149,0.380701926736,0.512743342914,0.711287825785,-3.60777472548e-06,8.82552613558,0.022,1.0,0.103448275862,0.171655673911,0.107592540063,-0.0787460050984,3.37276374663,0.0391473660209,1.7148675615,0.723334474281,1.01455865201,1
1115073020935,0.1685,0.412121212121,0.287903951335,0.418017108669,0.586094064972,0.746681998555,0.897884574362,4.11697023177e-05,10.6503425371,0.071,1.0,0.0689655172414,0.149211597203,0.219694763018,0.112045123679,-1.04886712612,0.0816894304587,2.11816162283,0.856818737826,0.264116395713,1
1115072056714,0.912,0.20618556701,0.187770001917,0.320251886938,0.415962523066,0.540910248482,0.798191286017,-3.42847434311e-05,3594.77156342,0.116,1.0,0.103448275862,0.881048528919,0.526527142042,1.23952165931,4.43475452469,0.21723280584,0.500127823323,0.810079381999,0.202919311691,1
1115073020655,0.729,0.237288135593,0.159338484267,0.315105668539,0.409793254157,0.551406035996,0.790967785926,-0.000110111576212,5075.26908439,0.15,1.0,-0.0344827586207,0.870682140366,0.666838305481,0.281626716287,0.936163648833,0.246975843979,0.338836256277,0.799185119255,0.862598658371,1
